,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
RNA__ABCB8,-0.050718550588022444,-0.01241881164300186,-0.02859626662807974,-0.8100724981969458,-0.15508071776050486,-0.19906201197999637,0.01038370375679797,-0.6431757310202736,0.05351807975455595,-0.0015044071899359352
RNA__ABCC1,-0.07131642672985262,0.5731788776814087,0.1279720870136216,0.008233323172447802,-0.04603506105907844,-0.3203820642180896,0.47109091312396295,0.43399770592460146,0.3175220021975338,-0.014409552540830584
RNA__ABCC10,-0.2603953260577615,0.2830723726294147,0.054247632906159506,-0.5471779263179222,0.09763682743254863,0.03221513771946371,0.3536377755734188,-0.7059056987166464,-0.12666987119575307,-0.002326658849767728
RNA__ABCC2,-0.02474313294701255,0.217673583443067,0.2400645953550796,-0.02714317351848291,-0.40344845706482224,-0.05432520125467384,0.355339080809987,-0.7280751314533318,-0.2512007077768547,0.0013095114340081217
RNA__ABCC4,-0.07583584784686571,0.41292783160199614,-0.3792523114595499,0.05316351794454109,0.009158078789257174,-0.8151639916545624,-0.060641919977039854,0.07239050390279445,0.25634905355541876,-0.008671807114563782
RNA__ABCC5,-0.2419120292182651,0.33991962573619616,-0.15091318291247557,-0.4159147957110463,-0.12755112806485858,0.5072092828484507,0.21330702797251594,-0.12161707475137558,-0.4362494569471228,-0.00025232798580328644
RNA__ABCC6,0.13877295362234593,0.21187136542664067,-0.48525643993349893,-0.6351767500460613,0.1560407906411975,0.7103430015749544,-0.04052192387346012,0.025997296865844583,0.940777988246104,-0.004831995437355836
RNA__ABCC6P1,0.0078107127998048136,0.13126590251757222,-0.38333268535915543,-0.5591268508211666,0.15143172486776715,0.6537606199985554,-0.03065231397715786,-0.0010523351078943863,0.512600358076166,-0.0016598455651407873
RNA__ABCC6P2,0.024846389153630664,0.10673449793698907,-0.39167701285715645,-0.5179571815718679,-0.025646661121007826,0.5794927910456232,-0.516459073204343,0.0568689420475714,0.8341672568925956,0.00023561511261387542
RNA__ABCC9,0.2995809595202452,0.3830136975397267,-0.028252400012398933,-0.06815045607983859,-0.3645164918311869,0.06799922385199003,0.09013375048536315,-0.146697850234572,-0.40539127842625117,0.0014888479363071678
RNA__ABCD1,-0.3221867532103615,-0.011866462225454599,0.18761938786087629,-0.2268367759819472,0.07620849295060235,-0.22758225777417554,0.2648675455547375,-0.4211025309829758,0.4715952712996903,-0.0027072055184335837
RNA__ABCD4,-0.026435725925767373,0.24393661486934506,-0.01664433804683859,-1.1800772808724886,0.18429849453386934,-0.024640499981150206,0.297956560663539,0.10946223591239773,-0.5841620347645363,-0.004321320759945904
RNA__ABCE1,-0.15000420430287045,0.5096196755773709,0.03718511844358277,0.4616332673745352,0.13544879184949815,-0.01775888199967272,-0.13266242965036285,0.060527810538913485,0.18252831309561718,-0.00338226621429255
RNA__ABCF1,-0.2900655520398494,0.40456692820631107,0.18219274838651148,-0.26497854356164874,0.20594917167287233,0.2533585752115865,-0.2081713425858137,0.6095835634877921,0.6182229166365472,-0.006353171352257326
RNA__ABCF3,-0.1137220361008723,0.06254147521934887,0.27328758787734986,-0.8402758032534118,-0.07810285477811137,-0.058793983313322654,-0.23059148592211862,0.020956606667832025,-0.02841372399553184,-0.0025884238664520406
RNA__ABCG1,0.05663478485860634,0.28640310267140645,0.05097683206186136,-0.10469283951754442,0.038243643812829735,-0.11618323338593485,0.07568969503210668,-0.2194391918188706,0.4310581908600134,-0.004395867398583078
RNA__ABHD10,-0.08863787938187645,0.419862941616992,0.11808281448430723,0.12723574935741813,-0.010957253158819364,-0.21283483206227163,-0.20889212562935855,-0.1916909855520875,-0.22490811397194313,-0.00035935671199257516
RNA__ABHD11,-0.23293210967743497,-0.1665109005419202,-0.21090811882875876,-0.3723215691221293,-0.03146947582396143,0.2022396777678468,-0.12338064062672302,0.4267294281245928,0.44964971438749357,0.002447674877614692
RNA__ABHD11-AS1,0.14929641639212948,-0.042634108010435094,-0.44838870676298687,0.15804805037944267,-0.06364917055509038,0.5222289267571582,-0.20213222224029415,0.0435940654311746,0.8576410425360085,0.005193597928509257
RNA__ABHD12,-0.1414394656481845,0.01582426702975623,0.1403177544946229,-0.1724125650724983,0.03861267125734232,0.010444357785909719,-0.18908145314156571,-0.19776587988898323,0.30026896161997946,0.00215281707157014
RNA__ABHD13,0.02158226037238316,0.6091103863582159,-0.1825524561325444,0.41162753101193617,0.06221249579098716,0.021068581103556788,-0.3668872442016076,-0.31921847063093683,-0.1293215274563933,0.003685447427249796
RNA__ABHD15,-0.11279424662599477,0.39871664734222634,-0.05317849327026673,-0.3136594701597736,0.08631422748017906,-0.054599640885665816,0.18239394426697217,-0.19266996918644405,0.6014644508651826,0.0010718268572257408
RNA__ABHD16A,-0.1532523057082143,0.30128583698733163,-0.11330175778623633,-0.37194692629843745,-0.03880207969157474,-0.20848328831963306,-0.20613526019887526,0.08098503973295915,0.29722150846315626,-0.006251082161543931
RNA__ABHD17A,0.31738190042203585,-0.04450571816605486,0.3199167338777137,-0.7733761746543072,0.34458615727708575,-0.31829546962163463,0.5086482156300377,-0.06565112569259424,0.5360788092601674,0.008735806216980606
RNA__ABHD17AP6,-0.04209848476604507,-0.10362085430573338,0.10843581958745854,-0.492626520127122,-0.15925065102474883,-0.4042813811668705,0.3134113323487177,0.13242030186051815,-0.18930689331613554,0.0012874631143725511
RNA__ABHD17B,0.03924849313532109,0.34573806412256214,-0.09947414451531587,0.016414134058975627,-0.12909948166452703,-0.0386719497739006,-0.020136300869320767,0.08878343518039071,0.10202252258750823,0.001463069234474819
RNA__ABHD17C,-0.13226121397086618,0.25941580800599345,-0.048543642281356915,0.1523169106977719,-0.15242500321840144,-0.385556595691656,-0.42171152688886143,-0.13026396971252394,-0.084852919561808,0.001706222328215352
RNA__ABHD18,-0.011595899047523794,0.6252838385308194,-0.06445246834815313,-0.1001134697643575,-0.008849558293083837,-0.04740316378891688,-0.1571066660258434,0.16062026872204696,-0.506263046235057,-0.0034098525282038454
RNA__ABHD2,0.048527465054762124,0.6006180469949293,-0.22668281963109346,0.11239395106278115,-0.08762829445718058,-0.018730497973055857,0.35707142088310356,0.10934202946482703,0.7393879167356632,-0.010991715044910054
RNA__ABHD3,-0.17929536110939245,0.4537684534145258,-0.026092761242485617,0.05213598455929931,0.17612671784795192,-0.16208371854747036,-0.030070538867275624,-0.05231232167714544,-0.09652548497440423,0.0018650220514036203
RNA__ABHD4,-0.18291401962272338,0.09857099764736886,-0.041138683352727023,-0.0766801636611598,-0.09444062808456388,-0.13207662289905733,-0.04387912533592276,0.16379575599440846,-0.10636333163691611,0.0002487300753326385
RNA__ABHD5,0.11831348141261944,0.4996871138935428,0.07318078810247505,0.3803329868512088,0.0837843096163035,-0.09289614008171625,-0.1630640452264143,0.29414718798230083,0.9694859264719303,0.010565412028021274
RNA__ABHD6,0.16799320899299788,0.3830282525529024,0.15033478043208284,0.09222376034415483,-0.06877114900289569,-0.3389475336761006,0.22491814013226633,0.044875511271503715,0.8139681586224421,-0.002365450172233631
RNA__ABHD8,0.13172982889143467,-0.2524621216528765,0.286493692264063,-0.8397435267083616,0.2701227916160245,-0.2780621860955497,0.2969225876917179,0.007951291696583014,0.7331023526813939,0.0031991252821621
RNA__ABI1,-0.11645983808099582,0.4888048192955225,0.047066364918110684,0.3029269428498367,-0.2547219137096978,0.011870512924704493,0.0477298126220937,-0.16042388883953962,-0.09579588699639958,0.0013363296462222574
RNA__ABI2,-0.06480437643884841,0.33353987215719916,-0.1081260277006075,0.06382248533836714,-0.0846055187230698,0.1692412385808176,0.22324163170506892,0.12232343902467228,-0.0007466643487768664,0.00021786834961772588
RNA__ABI3,-0.005024454547978978,0.022458084308286986,0.3530140396314327,-0.11780998605748587,-0.24390129579862288,0.06578206317341448,0.24982812653057468,-1.8190715490748042,0.07935813066140339,-0.0020504939982173855
RNA__ABLIM2,0.20630433427109518,0.19067895449907457,-0.1580274237676571,-0.6075510202034414,-0.024107029232881425,-0.15586336801558598,-0.07224617644691983,-0.5587478779797879,-0.30909484927693137,-0.0003794427506909005
RNA__ABLIM3,0.38670456549457705,0.1997327565498597,0.19471110359188173,-0.019405371842885842,-0.3323266417705768,-0.03294342500883812,0.36338205122630823,0.4425568217863355,0.3636560710723027,-0.0026077789845172085
RNA__ABR,0.15035807700327153,0.37988668768493,0.010155769967242077,-0.2318331790116379,0.08908434634725604,0.454576077785648,0.0983306062301645,-0.07267972857579552,0.6144308161210492,0.004835235152634089
RNA__ABRAXAS2,-0.19715461350495048,0.5234446852579496,0.09189668593738959,0.22335105868909175,0.12581682814167547,-0.025288957596880962,-0.30698509546627106,-0.04660920941030966,0.029482025055237122,0.00021010865304786085
RNA__ABTB1,0.4150453374019714,-0.018275412284614205,-0.015537668358054165,-0.7663930039513625,0.13909508642977061,0.0692242179690846,0.1584536760228708,-0.13161525135515276,-0.04170334326998156,-0.015108919352786033
RNA__AC000078.1,-0.007553111185793043,0.31774765657641046,-0.23045865797769957,-0.5000040890653642,0.30068227559073973,0.10606281506805088,0.06371727507671578,-0.457858970678029,-0.1939541631612774,-0.006039618222616751
RNA__AC000123.2,0.1831574548446581,0.24520837332960677,-0.06164435612472967,-0.26644424915943277,-0.04649430295012014,0.060063833839742765,-0.20231907683747322,-0.0756223866455824,-1.169267333064864,0.0032406532992834435
RNA__AC000123.3,-0.06776037767755046,0.5261055439769571,-0.25962147778220235,0.1281044990468595,-0.02430331106274935,0.1411351974754596,0.05266514244911451,-0.7272622265321066,-0.1642047133362436,0.0021715683535973034
RNA__AC002066.1,0.3963258622819375,0.027210779721719612,-0.08753108770053397,0.12293724950817334,0.08693905610688345,-0.04066152471275749,0.12296936738066956,0.24632419880934203,0.405229066531507,0.0005950914243516112
RNA__AC002070.1,0.1732164009308629,0.047971979056960844,0.10829599632909741,-0.395888594621895,-0.1642919153793796,0.1351278945426227,-0.09977448840836568,0.22972566466943595,-0.0706741365468242,0.0011614133761254169
RNA__AC002091.2,-0.03171943843501754,0.33506440638878726,-0.005226608151643477,-0.09896329880831589,0.1363099074152051,0.08869798188103266,-0.03524733155696648,-0.4773561560985218,0.27627773197483196,0.0016999179539088085
RNA__AC002310.1,-0.23983981090132345,-0.10801813282084549,-0.12226735222415398,-0.7371492420551782,-0.10429212243545637,0.20288913205678166,0.16243723121478384,0.2946428394157734,-0.2895017338159723,-0.001948716020013873
RNA__AC002310.6,0.22262757074192943,0.2595599206333104,-0.16254008760927843,-0.7544210762604097,0.0023205248409614455,-0.13900070698367548,0.11309167564218024,0.5621269616194072,0.16653154008507157,-0.004023475309407016
RNA__AC002401.4,0.14142693069911913,-0.11938921473279082,0.47478314174540265,-0.038250601493428696,0.16320388962429155,-0.04019062193979332,0.33409011073693096,0.023977728082930593,0.12531188770083873,-0.003889242092706421
RNA__AC002467.1,-0.01599500003295882,0.0031453744143906284,-0.16857638432299238,-0.2922203040870121,-0.17073992528935755,-0.3858329682465957,-0.512822124047473,-0.21423789659857861,0.6315459585847788,0.0013428240720084425
RNA__AC002480.2,-0.04122641417984912,-0.014794304286447965,0.21556932507980808,0.13802171645657135,0.4145936770062887,-0.654439574538118,0.04870495865010255,0.12815435072442746,0.10982436608193384,-0.001555079131993646
RNA__AC002553.1,0.09668678012866509,0.2889071477135533,-0.13454173521710291,-0.5924115299783623,0.031504130070928386,-0.16436468309519833,-0.13325793097306293,-0.37471134847995785,-0.7043818173077807,-0.0010810953099368668
RNA__AC002553.2,0.12888447279195694,0.25445747055558227,-0.2548682793063351,-0.41130029376691524,0.1780025518388417,-0.06163434263040872,-0.28134726615586586,-0.13710281234630534,-0.9023209472941316,0.005601405038621144
RNA__AC003070.2,0.3723735408837823,0.014743186440612078,-0.06359538885625397,0.05694430534359756,0.00197774902937952,-0.06260022262151976,0.03477008674117144,0.3588597777248952,-0.09490076360332349,-0.0017474723205133033
RNA__AC003101.2,0.05532852104521286,-0.10197440535214176,0.34135235262003777,-0.24253574686286225,0.20125932549563078,0.047177536670224854,-0.0051091763745369405,0.07062285982396715,-0.43069478715850235,-0.0057582389580921765
RNA__AC003957.1,0.21081937101109527,0.4275366702104173,-0.08390666790084694,-0.3036294732498049,0.05076472102517117,-0.02161639782245395,0.15563288147092486,-0.725628594814642,-0.8776842874643045,0.007104092944416063
RNA__AC003973.3,0.06462423380594796,0.20102939826594618,0.08962326557431176,-0.2656023211876346,0.011798148833230047,0.41487483511746914,0.15348295148658533,-0.03851238704641278,-1.1621892312413962,0.004005928938918163
RNA__AC003991.1,-0.01602845075011998,0.19613781241247322,-0.45566793623604934,-0.12622681557477342,0.1468276918344376,0.20540602606739475,0.35658883088212995,-0.21158740996557063,0.569466778755336,0.00031245753243031623
RNA__AC004012.1,0.009884450305673597,0.0021066894879759475,-0.25846635903507104,0.033041646427716086,0.06725325685089503,-0.21359484709536858,-0.003271994176582209,0.26832111671203235,-0.15112916413579208,-0.0007220708367461806
RNA__AC004057.1,0.05773518219418054,-0.16589312206968437,0.3441326783511641,0.012743147433858439,-0.024059652688666913,-0.05533470643779632,-0.12586840461909832,0.03989714956315506,0.4610978452129674,0.00036945581423382926
RNA__AC004069.1,0.006556908103758137,0.1415573469291361,0.019151435396415454,-0.3851379325943177,0.0398485746634378,-0.040303783825433655,-0.43348372745889874,0.4636816359644934,-0.26442606444584477,-0.00012072315520311183
RNA__AC004076.1,-0.18854659947627783,0.4367364630208709,-0.08396525604614039,-0.20309354362186707,0.16348567820316998,0.12213391173185188,-0.007396377494042188,0.2956672350092015,-0.5321462801290321,-0.004715778928358167
RNA__AC004130.1,-0.12596478402712855,-0.15012821216775807,-0.0823106802657276,-0.1216787004957656,-0.008360841815397419,-0.05198096271859383,0.007159930896008063,0.7517372972686935,0.02299515109827846,0.001588405254380539
RNA__AC004241.3,0.18473043998124708,-0.055583007542426954,0.06747901605286699,0.010986413015429445,-0.2782514016451604,0.057698031174828426,-0.6075593173292843,-0.03450990550084336,-0.22573337477611494,-0.0016741336229723095
RNA__AC004253.1,-0.06359683518463374,0.3280875779454915,0.04670147177221782,-0.4624843646546857,0.05342772921150863,-0.1766164687720459,0.12984485817623995,0.15152149592800654,-0.6675017880620939,-0.00033568891052711427
RNA__AC004264.1,-0.05019708315294861,0.11773260962278644,0.3713685953814685,-0.2571707178864562,0.11188084657714534,-0.17669476096032158,0.4952698066571225,0.14851533210713866,0.5045870907778999,0.0044977813209164655
RNA__AC004453.1,0.15489338586536036,-0.10140990030064347,0.19122446069990076,-0.45691186853026194,-0.14494160895591274,-0.08338851706959372,-0.7511700738562079,-0.14832721968869372,0.06100166983742396,-0.0018556323283925606
RNA__AC004466.1,0.14763707630863013,0.18348522370832357,0.03284453625584508,-0.8715384345291446,0.025431939405920943,0.00905636777536554,0.4239889203826898,-0.1596753301503351,-0.23216492686204837,-0.0006724306413971502
RNA__AC004466.2,0.2852313623921938,0.2421361554358228,-0.04399034413978437,-0.4511658561773207,0.02329179769268115,-0.0794128409958987,0.05813423123794366,-0.029521542564555997,-0.8229694414980723,-0.004074279619452504
RNA__AC004477.2,-0.13249250716282676,0.03451227492893406,0.1540094836634536,-0.07679060813357161,-0.28333017617724704,-0.4565698391083607,0.5529678387577205,0.02490410465200702,0.1398370793781007,-0.004822081757371741
RNA__AC004492.1,-0.09945783415327557,0.3626084762703168,-0.25964440867815164,-0.07783506598748119,-0.0054297991759326945,-0.05334436978208877,0.10488958123551258,-0.7625485134918881,-0.7961257073066651,0.0041711577470428095
RNA__AC004540.1,0.2580765313479316,0.06643037505664239,0.1211138418758504,-0.3677339144733439,-0.020842474686749574,0.34371502905884554,0.3521360646151781,0.049471858130989,0.2333973813274807,0.0008614791097131929
RNA__AC004540.2,0.45085361040209065,0.08415307465746102,0.16338322252947052,-0.22114310809064258,-0.005894317226534146,-0.005374712924936506,0.0402559835579033,0.07062166940586467,0.3545220386818811,-0.001557272058867247
RNA__AC004552.1,0.26949101199546505,-0.17297633578480331,0.24486387020736194,-0.07610338462834522,-0.020813388268464957,-0.03455562514126508,-0.3072427124626451,-0.0045877509055218795,0.19520092558055993,-0.0012062272668245274
RNA__AC004623.1,-0.007491501626592494,0.37773064017923264,-0.016446054038578076,-0.707787287731628,0.13638892679897324,-0.0859498818440195,0.38295968248647455,0.05482306556696349,-0.5116944957556996,-0.0012025282554593846
RNA__AC004656.1,0.09578995313045596,0.34487238118833596,-0.32936864037126656,-0.12202490744670662,0.01906531747698046,0.45239910843913084,-0.20492973384027904,-0.04910665934037087,-0.11821238374512946,0.0072617484376292386
RNA__AC004687.1,0.39533343029240453,0.0003370391595263204,0.08262563738044046,-0.6365390439097248,0.24608345520121078,-0.16463687369933436,-0.11412998726416129,-0.6773075964394404,-0.25985706940709696,-0.0007649665507923315
RNA__AC004771.3,-0.19855658390361472,0.41122337681718063,-0.2598417369526828,-0.0034927222860485344,-0.017245595823131905,-0.018848441287096736,0.3939998933588737,-0.40258781885167205,-0.11312892804384579,0.005204514340750688
RNA__AC004801.2,-0.03303619822136145,0.03972732328631673,0.10882084448804724,-0.24821699988371854,0.052971162098851596,-0.1134513685778435,-0.37186876949390224,0.18136731629058786,-0.6983079425283659,0.0015510640694044852
RNA__AC004812.2,0.04788304155285394,0.07773893118747428,0.08161545191084045,-0.39331441243927506,-0.28316323556754636,-0.3259020610346409,-0.2392679268371789,0.06228729224009606,-0.15287076774161407,6.443500924865066e-05
RNA__AC004825.2,0.19174133607327581,0.14924021279200797,0.017689562654301147,-0.25525398866947485,-0.1578117058118753,0.015926143100764942,0.006687644940694592,0.7679814475798721,0.37895732476053795,0.003761839721637654
RNA__AC004836.1,0.31630491034110964,-0.1529695099388851,-0.10912835579795106,-0.3589684828557504,-0.21161976658139192,0.19056512556750918,0.32152047115599997,0.0838715053810418,0.7043397250166372,-0.00023670704715795978
RNA__AC004846.1,-0.02510750847767035,0.16437673547298925,0.010795957800770742,-0.32066160949609046,-0.033321303522644875,0.7324911926533898,0.08048679065824689,-0.03875702302316298,-0.426801458771692,-0.0032255458609508013
RNA__AC004847.1,-0.06754592065623985,0.17608552085943258,0.010420924523580084,-4.484904225776107e-05,-0.15182512163925727,0.05327836389424997,-0.03973250980231432,-1.2723052650168525,0.04192863545242228,0.0065218348371181775
RNA__AC004865.2,0.26618580168299155,0.15414626842199936,0.12025210851191759,-0.4659950453429397,-0.05849056441657769,-0.08563510322384595,0.06772948990931692,-1.0960607399512006,-0.1537901085440225,0.0035450857984105793
RNA__AC004877.2,0.09296490443240268,0.2565536995859379,-0.17336318248645485,-0.15490072103938077,0.04283202572302862,-0.21955465011725667,-0.17461223192930636,0.6628467060597106,-0.7545673723028574,0.004445354201179192
RNA__AC004889.1,0.2544799132638549,0.22373317925607916,-0.00212916603348827,-0.07909673585642386,-0.08196062596814821,-0.30165206578241127,0.2695580684220136,0.36423857020045036,0.322744964399626,0.004388167295276831
RNA__AC004908.2,-0.10200739378743298,0.25431229181846765,-0.13113140316975175,-0.30016831747140627,-0.08340200312833845,0.08223819610090806,0.023815501018191448,-0.17095670361991216,-1.3710850886227752,0.0026969882681109393
RNA__AC004918.1,-0.15393970264668358,0.2667250703623245,-0.15986184957239738,-0.09094749174340637,-0.29115585418514034,0.05519475552661136,-0.25192694481972255,0.009921277794910914,-0.023745120385845243,-1.616749290670881e-05
RNA__AC004921.1,0.19798724283564897,0.07654145905619973,0.1488987626252535,-0.1107993158795504,-0.08225939021642287,0.4537828773452233,0.06991907589490544,-0.30301047217626553,0.5972997761911841,-0.0002953812905442446
RNA__AC004922.1,-0.1437853617456692,-0.03417369207490865,0.3089397071196378,0.051711150320173045,-0.1315999511805623,0.18786310481576607,-0.6160862321170186,-0.3798991747806978,0.5301568474587836,0.0016765361425818731
RNA__AC004947.1,0.32087031178223735,0.0979612433244762,-0.140390081477092,-0.06914078264730818,-0.23927595573915822,-0.5268715134518964,0.5836951698817247,-0.07469020697133741,-0.06903929573046827,-0.0016705328275199343
RNA__AC004975.1,0.054052232709221604,0.24798106821712107,-0.136845695267864,-0.18175634945829214,0.2880760020645383,-0.07762878473645302,0.16398972839377945,-0.2798661390500769,-0.5742406300777337,-0.0012245640783937843
RNA__AC004980.2,-0.1926618320705967,0.15938231593480537,-0.0655275188106443,-0.39141168033120277,-0.026014952172760855,-0.03783496170592109,0.043656194360834524,0.2594021253306631,0.09117559863661238,-0.0053720813084861515
RNA__AC004982.1,0.08128398998293504,0.13345196786077632,-0.6574447628750307,-0.4680913837386077,0.08603605457158174,0.012440494803376249,0.058633530777349674,0.8336753710431731,-0.09965152792872667,0.0032982713798676636
RNA__AC004982.2,-0.07570598566720205,0.2414061292087095,-0.521126316563824,-0.588358356980191,0.2664312297481942,0.052750485524516916,0.47010520186551363,0.8128375196729144,0.3291240286966168,0.010494510609660276
RNA__AC004988.1,0.07515156572046626,0.13846198961979797,0.317592575414152,0.266883756771686,-0.01596664367675669,0.270368998178332,-0.1669416800050629,-0.19833878608897004,0.3420249537805911,-0.0018889570614639812
RNA__AC005005.4,0.11745047063080248,0.08956480116012361,0.35390996691667104,-0.5619747168621464,-0.034020930462902645,0.6779587856636322,0.4897544406637272,0.4311338731425964,-0.13785955399937388,0.006795420256799636
RNA__AC005014.2,-0.2085211459810909,0.4187528630035928,-0.2799865764981349,0.10583996834629127,0.20604747963329295,0.046727798042073124,0.06004486883283221,0.44099240481622687,0.4002249880745214,0.0006712253932267187
RNA__AC005014.3,0.15151009937042287,0.022886428260548083,0.06453843684980373,-0.3815173468572964,0.07574120275784961,0.34598078430007734,-0.145867867870923,0.30579678105749125,0.12597527606825223,-0.0003694626859920182
RNA__AC005034.5,0.040841713128743976,0.5600973223351542,-0.10883121279692584,0.09024894864350765,0.001526551527824764,0.04255235817779256,-0.31456304692914905,0.20889862959418357,-0.3019940332101157,-0.001990397817244321
RNA__AC005041.1,-0.02828898587348518,-0.3034841521007251,-0.10836447289517169,-0.6675094420902689,-0.17511561410075963,0.3827532954320115,0.08486045833712579,0.1654805101879472,0.272610268150189,-0.001995573135376401
RNA__AC005046.1,0.1690809544525065,0.35897355856943874,0.2227783903556061,-0.06285607043961848,-0.1356658880714078,0.0008920887286748457,0.28424901232601174,-0.06735069596655838,-0.67937820901575,-0.0012991755469904775
